,price,year,area,rooms,floor,tot_floors,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,latitude,longitude,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
51,101011.0,2016.0,44.0,2.0,5.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2295.70454545,44.7907293,20.4797627,0,0,0,0,0,0,0,0,0,1,0,0,0
52,199000.0,1994.0,109.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1825.68807339,44.7771707,20.4218033,0,0,0,0,0,0,0,0,0,0,0,0,1
53,119000.0,1941.0,88.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1352.27272727,44.8135267,20.4597752,0,0,0,0,0,0,1,0,0,0,0,0,0
54,75000.0,1980.0,72.0,2.5,11.0,22.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1041.66666667,44.6421491,20.4343971,0,0,0,0,0,0,0,0,0,0,1,0,0
55,99000.0,1975.0,39.0,1.5,3.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2538.46153846,44.8016038,20.4753224,0,0,0,0,0,0,0,0,0,1,0,0,0
56,139000.0,2005.0,90.0,3.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1544.44444444,44.8090876,20.482259,0,0,0,1,0,0,0,0,0,0,0,0,0
57,239011.0,2012.0,97.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2464.03092784,44.7959198,20.4709548,0,0,0,0,0,0,0,0,0,1,0,0,0
58,28000.0,2017.0,35.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,800.0,44.8550834,20.3441426,0,0,0,0,0,0,0,0,0,0,1,0,0
59,94000.0,2009.0,45.0,2.5,5.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2088.88888889,44.5372579,20.3659836,0,0,0,0,0,0,1,0,0,0,0,0,0
60,28500.0,2008.0,30.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,950.0,44.8361355,20.3785462,0,0,0,0,0,0,0,0,0,0,1,0,0
