,price,part,year,district,area,rooms,floor,tot_floors,type,street,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,location_string,coordinates
237,130000.0,Palilulska pijaca,1918.0,Palilula,117.0,4.0,2,2,stan,Dr Dragoslava Popovića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1111.11111111,"Dr Dragoslava Popovića, Beograd","(44.8119513, 20.4743584)"
238,85000.0,Tašmajdan,1968.0,Palilula,48.0,1.0,5,7,stan,Kraljice Marije,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1770.83333333,"Kraljice Marije, Beograd","(44.8044025, 20.4799714)"
239,85000.0,Tašmajdan,1938.0,Palilula,46.0,2.0,1,2,stan,Majora Ilića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1847.82608696,"Majora Ilića, Beograd","(44.8117777, 20.4735061)"
245,270000.0,FON,2003.0,Voždovac,166.0,7.0,,2,stan,Kapetana Zavišića,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1626.5060241,"Kapetana Zavišića, Beograd","(44.7685667, 20.4780478)"
246,88000.0,Dorćol,1970.0,Stari grad,53.0,2.0,1,13,stan,Cara Dušana,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1660.37735849,"Cara Dušana, Beograd","(44.8490121, 20.4030584)"
249,246000.0,Hram Svetog Save,1937.0,Vračar,112.0,4.0,1,4,stan,Prote Mateje,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2196.42857143,"Prote Mateje, Beograd","(44.3794977, 20.2474718)"
250,225000.0,Hram Svetog Save,1989.0,Vračar,110.0,4.0,1,4,stan,Internacionalnih brigada,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2045.45454545,"Internacionalnih brigada, Beograd","(44.7946566, 20.4733132)"
251,84150.0,Cvetkova pijaca,2017.0,Zvezdara,51.0,3.0,1,5,stan,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1650.0,"Cvetkova pijaca, Beograd","(44.79338445, 20.5062192033241)"
252,105000.0,Cvetkova pijaca,2017.0,Zvezdara,68.0,3.0,1,5,stan,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1544.11764706,"Cvetkova pijaca, Beograd","(44.79338445, 20.5062192033241)"
254,114011.0,Čukarička padina,1991.0,Čukarica,95.0,4.0,1,6,stan,Obalskih radnika,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1200.11578947,"Obalskih radnika, Beograd","(44.7781546, 20.4049954)"
